node;pid;tid;core_id;sample_count;
ip-10-0-2-49;9926;9953;8;2734;
ip-10-0-2-49;9926;9953;14;6432;
ip-10-0-2-49;9926;9949;5;9167;
ip-10-0-2-49;9926;9961;16;9148;
ip-10-0-2-49;9926;9960;11;9162;
ip-10-0-2-49;9926;9959;1;2533;
ip-10-0-2-49;9926;9959;4;6634;
ip-10-0-2-49;9926;9958;2;9168;
ip-10-0-2-49;9926;9957;13;9166;
ip-10-0-2-49;9926;9956;9;6785;
ip-10-0-2-49;9926;9956;14;2380;
ip-10-0-2-49;9926;9952;6;9182;
ip-10-0-2-49;9926;9950;7;9165;
ip-10-0-2-49;9926;9955;10;9156;
ip-10-0-2-49;9926;9954;15;9178;
ip-10-0-2-49;9926;9947;1;6629;
ip-10-0-2-49;9926;9947;4;2508;
ip-10-0-2-49;9926;9948;3;9174;
ip-10-0-2-49;9926;9926;12;9155;
ip-10-0-2-49;9926;9951;8;6405;
ip-10-0-2-49;9926;9951;9;2394;
ip-10-0-2-49;9926;9951;14;351;
